BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2017,OTHO,Other Operating Fund,0286PER,Wellness Program Fund,5.R,Wellness Program,QM,Supplies & Materials,1000,78.2,0,78.2
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",QV,Contractual & Other Services,1403050,19319.22,970526.05,989845.27
2016,GNFD,General Fund,0001STS,Street Services GF,9.99,Department Support,QM,Supplies & Materials,61426,3211.46,198316.17,201527.63
2017,GNFD,General Fund,0001STS,Street Services GF,2.27,Mobility Planning,PS,Personnel Services,710017,0,278741.36,278741.36
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0499999999999998,Capital and Implementation Program,QV,Contractual & Other Services,1052489,124334,1282909.14,1407243.14
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,PS,Personnel Services,600000,0,489100.96,489100.96
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.4500000000000002,Subdivision Plat Review,QV,Contractual & Other Services,118256,0,28910.22,28910.22
2016,GNFD,General Fund,0001EBS,Building Services GF,5.17,"City Facility Operation, Maintenance and Repair",QV,Contractual & Other Services,3694201,4034.4,4407539.9,4411574.3
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.06,Code Litigation,QV,Contractual & Other Services,126416,0,103640.75,103640.75
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,QM,Supplies & Materials,5215792,628.96,2620992.36,2621621.32
2017,GNFD,General Fund,0001ADM,Mgmt Services - Admin,5.01,311 Customer Service Center,RE,Reimbursements,-299179,0,-299179,-299179
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,2.5099999999999998,Vendor Development,QM,Supplies & Materials,225,0,195,195
2017,GNFD,General Fund,0001STS,Street Services GF,2.56,Street Resurfacing,PS,Personnel Services,524585,0,102635.49,102635.49
2016,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,8.8800000000000008,Debt Service,QV,Contractual & Other Services,10923451,0,10710577.07,10710577.07
2017,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,RE,Reimbursements,-4129653,0,-2196416.32,-2196416.32
2016,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,QV,Contractual & Other Services,171204,0,241695.14,241695.14
2017,GNFD,General Fund,0001EBS,Building Services GF,5.29,Energy Procurement and Monitoring,RE,Reimbursements,-159493,0,-442346.44,-442346.44
2016,GNFD,General Fund,0001DPD,Police Department GF,1.1499999999999999,Juvenile Case Managers/First Offender Program,RE,Reimbursements,-489854,0,-416112.69,-416112.69
2017,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,QM,Supplies & Materials,0,131.16,18.5,149.66
2016,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,RE,Reimbursements,-325051,0,-365416.08,-365416.08
2016,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,QM,Supplies & Materials,5058453,24952.32,4098892.14,4123844.46
2016,GNFD,General Fund,0001STS,Street Services GF,2.4300000000000002,Street Repair Division - Asphalt,QM,Supplies & Materials,4808349,49577.13,4064901.4,4114478.53
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,QV,Contractual & Other Services,5018691,177400,3729587.77,3906987.77
2016,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,RE,Reimbursements,0,0,-187.42,-187.42
2017,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,QM,Supplies & Materials,6925,0,939.77,939.77
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,QM,Supplies & Materials,9150,0,969.08,969.08
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,RC,Capital Outlay,25000,0,23211,23211
2016,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,QM,Supplies & Materials,1722490,1426,1637055.88,1638481.88
2017,GNFD,General Fund,0001STS,Street Services GF,2.41,Street Cut and Right-of-Way Management (Cut Control),PS,Personnel Services,573021,0,180286.33,180286.33
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,QV,Contractual & Other Services,2698430,62212.8,2402457.7,2464670.5
2017,OTGD,Other Gifts and Donations,0398MCC,Gifts and Donations,,NONE,QV,Contractual & Other Services,500,0,0,0
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,9.99,Department Support,RE,Reimbursements,-1611733,0,-1611733,-1611733
2016,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,QM,Supplies & Materials,2173031,6992.66,2295283.21,2302275.87
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.35,General Obligation Commercial Paper and Master Lease Program,RC,Capital Outlay,0,0,760136.8,760136.8
2016,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,QV,Contractual & Other Services,7736531,11,13525129.96,13525140.96
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.02,Authorized Hearings,QV,Contractual & Other Services,42047,0,2945.18,2945.18
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.5499999999999998,Zoning & Board of Adjustment,QV,Contractual & Other Services,301927,0,121589.35,121589.35
2016,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,QV,Contractual & Other Services,1618339,0,1742049.11,1742049.11
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.H,Environmental Services for City Fleet Operations,RE,Reimbursements,-1145676,0,-162577.64,-162577.64
2017,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,8.8800000000000008,Debt Service,WA,Debt Svc-Principal,142294089,0,131239089,131239089
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,RC,Capital Outlay,1847500,650234.45,1329351.02,1979585.47
2016,GNFD,General Fund,0001HOU,Housing GF,2.2400000000000002,Home Ownership/Development,QV,Contractual & Other Services,9191,0,22615.13,22615.13
2016,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,RE,Reimbursements,-195029,0,-51466.59,-51466.59
2016,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,PS,Personnel Services,17840715,0,16614079.33,16614079.33
2016,GNFD,General Fund,0001PER,Human Resources GF,5.39,Human Resource Consulting,RE,Reimbursements,-292724,0,-286366.52,-286366.52
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,TR,Transfers Out,863073,0,426507.23,426507.23
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,RE,Reimbursements,-591799,0,-961809.8,-961809.8
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,QM,Supplies & Materials,155687,7000.54,99764.9,106765.44
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",RE,Reimbursements,-100000,0,-11256.72,-11256.72
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,QM,Supplies & Materials,194846,0,171033.96,171033.96
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,QV,Contractual & Other Services,6006492,0,5060622.82,5060622.82
2016,GNFD,General Fund,0001PBW,Public Works GF,9.99,Department Support,QV,Contractual & Other Services,23215,21417.94,93342.75,114760.69
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,QM,Supplies & Materials,327795,0,335650.45,335650.45
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,QM,Supplies & Materials,3343190,0,3878272.73,3878272.73
2016,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,PS,Personnel Services,1743394,2440.31,1702390.37,1704830.68
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,QV,Contractual & Other Services,16320100,11411.25,20792600.42,20804011.67
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,QV,Contractual & Other Services,8163709,60,9115311.24,9115371.24
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,QM,Supplies & Materials,3201780,0,1560086.9,1560086.9
2016,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,QV,Contractual & Other Services,97916,0,126934.82,126934.82
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1000000000000001,Fire Dispatch and Communications,RE,Reimbursements,-3461000,0,0,0
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,WB,Debt Svc-Interest On Bonds,3469,0,2795.81,2795.81
2016,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,QM,Supplies & Materials,57387,0,53504.09,53504.09
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,QV,Contractual & Other Services,633414,0,437017.97,437017.97
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,RC,Capital Outlay,100000,0,144756.91,144756.91
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,QV,Contractual & Other Services,5813722,16504.75,6277716.8,6294221.55
2016,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,QV,Contractual & Other Services,905418,0,946884.64,946884.64
2016,GNFD,General Fund,0001STS,Street Services GF,9.99,Department Support,PS,Personnel Services,1163701,123.58,2673378.08,2673501.66
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,RC,Capital Outlay,0,0,12600,12600
2017,GNFD,General Fund,0001STL,Street Lighting,2.42,Street Lighting,RE,Reimbursements,0,0,-106.05,-106.05
2017,GNFD,General Fund,0001LEW,Jail Contract,1.1599999999999999,Lew Sterrett Jail Contract,QV,Contractual & Other Services,7812862,0,3255359.15,3255359.15
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,QM,Supplies & Materials,2663131,1.08,2969513.98,2969515.06
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,QV,Contractual & Other Services,1967854,775,3812371.51,3813146.51
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,QV,Contractual & Other Services,329256,3945.85,203214.17,207160.02
2017,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,RE,Reimbursements,-8683455,0,-22,-22
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,QM,Supplies & Materials,3934599,12398.27,3383968.28,3396366.55
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.21,Storm Drainage Management Fund,QV,Contractual & Other Services,20742948,112926.24,19102606.78,19215533.02
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,QM,Supplies & Materials,1959,915,424.6,1339.6
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.33,Private Development Records and Archival Library,QV,Contractual & Other Services,240367,0,23419.81,23419.81
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.05,Leisure Venue Management,QV,Contractual & Other Services,17178489,0,15793980.63,15793980.63
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1200000000000001,Fire Training and Recruitment,RE,Reimbursements,0,0,-7300,-7300
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.2799999999999998,Neighborhood Vitality,QV,Contractual & Other Services,205125,0,375301.51,375301.51
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,RE,Reimbursements,-167363,0,-18411.87,-18411.87
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.1100000000000003,Business Inclusion & Development Compliance Monitoring,RE,Reimbursements,-77110,0,0,0
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,RE,Reimbursements,-353376,0,-65072,-65072
2017,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,RE,Reimbursements,0,0,-22395.55,-22395.55
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,RC,Capital Outlay,25000,132000.26,93182.74,225183
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,TR,Transfers Out,3733763,0,844537.73,844537.73
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,TR,Transfers Out,40663,0,0,0
2016,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,RE,Reimbursements,-236000,0,-328719.83,-328719.83
2016,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,QV,Contractual & Other Services,9907,0,71946.91,71946.91
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,QV,Contractual & Other Services,6191245,124897.48,6032922.98,6157820.46
2016,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,QV,Contractual & Other Services,952091,0,952096.55,952096.55
2016,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,QM,Supplies & Materials,737436,0,900138.29,900138.29
2016,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,QM,Supplies & Materials,97662,0,139440.4,139440.4
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,TR,Transfers Out,863694,0,265612.49,265612.49
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.0199999999999996,Accounts Payable,QM,Supplies & Materials,39164,0,39507.68,39507.68
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.4500000000000002,Subdivision Plat Review,PS,Personnel Services,467076,0,190451.19,190451.19
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,RC,Capital Outlay,72435,29813.62,330053.49,359867.11
2017,GNFD,General Fund,0001CTJ,Judiciary GF,1.03,Civil Adjudication Court,PS,Personnel Services,398043,0,60699.1,60699.1
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.4,Independent Audit,QV,Contractual & Other Services,789495,118047.88,671447.12,789495
2017,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,QV,Contractual & Other Services,4708545,769031.65,908124.79,1677156.44
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,QV,Contractual & Other Services,8199409,750481.83,3148481.23,3898963.06
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,PS,Personnel Services,4131957,0,2062405.31,2062405.31
2017,GNFD,General Fund,0001PER,Human Resources GF,5.21,Compensation Analysis / Classification,PS,Personnel Services,367509,0,173011.81,173011.81
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.0199999999999996,Accounts Payable,QV,Contractual & Other Services,187020,83176.27,76944.29,160120.56
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,QV,Contractual & Other Services,259740,13721.55,46940.12,60661.67
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,QM,Supplies & Materials,9462,0,65.23,65.23
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,PS,Personnel Services,6295389,0,2585272.12,2585272.12
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,QV,Contractual & Other Services,157381,0,296636.1,296636.1
2016,GNFD,General Fund,0001ADM,Mgmt Services - Admin,5.01,311 Customer Service Center,RE,Reimbursements,-286825,0,-282979,-282979
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,QM,Supplies & Materials,1000,62.82,118.41,181.23
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,PS,Personnel Services,9222569,0,3058992.7,3058992.7
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,QM,Supplies & Materials,94840,0,1750.45,1750.45
2017,GNFD,General Fund,0001EMS,Mgmt Services - EMS Compliance,5.28,EMS Compliance Program,QM,Supplies & Materials,2200,0,394.16,394.16
2017,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",QM,Supplies & Materials,27720,0,2066.58,2066.58
2017,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,QM,Supplies & Materials,1291885,25538.8,417382.42,442921.22
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,QV,Contractual & Other Services,1057312,492.94,1659600.87,1660093.81
2017,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,QM,Supplies & Materials,34335,195.62,19554.22,19749.84
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.28,Police Legal Liaison,PS,Personnel Services,592108,0,284621.89,284621.89
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1100000000000001,Fire Investigation & Explosive Ordnance Disposal,PS,Personnel Services,4237597,0,1749527.55,1749527.55
2017,GNFD,General Fund,0001STS,Street Services GF,2.57,Street Forestry Division,PS,Personnel Services,231168,0,3631.43,3631.43
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1200000000000001,Fire Training and Recruitment,QM,Supplies & Materials,875445,7401.1,91239.01,98640.11
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.05,Applicant Processing - Civilian,QM,Supplies & Materials,8700,385.43,3165.87,3551.3
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,QV,Contractual & Other Services,188542,0,133549.36,133549.36
2017,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,PS,Personnel Services,2034733,0,863110.25,863110.25
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.C,Business Technology Services,PS,Personnel Services,5762585,0,2332845.92,2332845.92
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,QV,Contractual & Other Services,142008,4200.35,123390.3,127590.65
2016,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,RE,Reimbursements,0,0,-50834.55,-50834.55
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,QV,Contractual & Other Services,53813,35467.21,31562.02,67029.23
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,QV,Contractual & Other Services,75241,735,6417.67,7152.67
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,RE,Reimbursements,0,0,-72546.64,-72546.64
2017,GNFD,General Fund,0001EBS,Building Services GF,2.0299999999999998,Bullington Truck Terminal and Thanksgiving Square,QV,Contractual & Other Services,439719,3067.48,406954.09,410021.57
2017,GNFD,General Fund,0001EBS,Building Services GF,5.29,Energy Procurement and Monitoring,QV,Contractual & Other Services,78451,0,30023.24,30023.24
2017,INSV,Internal Service Fund,026APER,City Emp Basic Life Insurance Fund,5.J,HR Benefits Administration Services,QV,Contractual & Other Services,0,0,223873.5,223873.5
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,QM,Supplies & Materials,114000,9329.75,14942.45,24272.2
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,QM,Supplies & Materials,147196,7486.51,36854.08,44340.59
2017,GNFD,General Fund,0001ELE,Elections,5.27,Elections,QM,Supplies & Materials,5007,0,2517.02,2517.02
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,QV,Contractual & Other Services,161340,77.45,20937.91,21015.36
2017,GNFD,General Fund,0001DPD,Police Department GF,1.22,Police Community Outreach,PS,Personnel Services,1720058,0,807380.73,807380.73
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,PS,Personnel Services,1449415,0,808863.25,808863.25
2017,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,PS,Personnel Services,1630761,0,757945.61,757945.61
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,PS,Personnel Services,5305682,0,2251138.22,2251138.22
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.0199999999999996,City-Owned Cultural Venues,QV,Contractual & Other Services,5549204,0,5352455.68,5352455.68
2017,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,QV,Contractual & Other Services,1393992,254125.07,704600,958725.07
2017,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,QV,Contractual & Other Services,503480,14055.62,88555.93,102611.55
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.05,Leisure Venue Management,QM,Supplies & Materials,835716,27476.42,501868.42,529344.84
2017,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,QV,Contractual & Other Services,709384,3996,53955.72,57951.72
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1299999999999999,Fire-Rescue Equipment Maintenance and Supply,QV,Contractual & Other Services,1613432,623616.17,274371.48,897987.65
2017,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,QV,Contractual & Other Services,509550,34956.25,166991.36,201947.61
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.2200000000000002,GIS Mapping for Private Development,QM,Supplies & Materials,4675,1032.49,1596.45,2628.94
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.3199999999999998,Planning and Design Studio,PS,Personnel Services,1230782,0,383229.88,383229.88
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,QM,Supplies & Materials,213394,5937.94,86856.04,92793.98
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,QV,Contractual & Other Services,530979,153730.11,300415.95,454146.06
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.2799999999999998,Neighborhood Vitality,QV,Contractual & Other Services,419479,991.16,19989,20980.16
2017,EFOP,Enterprise Operating Fund,0164AVI,Transportation Regulation,2.36,Regulation and Enforcement of For Hire Transportation,PS,Personnel Services,846634,0,177714.11,177714.11
2017,GNFD,General Fund,0001PER,Human Resources GF,5.38,HRIS and HR Payroll Services,QV,Contractual & Other Services,666665,1411.48,242475.09,243886.57
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,QM,Supplies & Materials,150108,28255.3,33370.02,61625.32
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,3.15,Illegal Dump Team - Criminal Investigations and Arrests,PS,Personnel Services,837090,0,362225.06,362225.06
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,RC,Capital Outlay,2431565,42000,36665,78665
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,PS,Personnel Services,4110542,0,1913890.67,1913890.67
2017,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,PS,Personnel Services,2593594,0,1256173.1,1256173.1
2017,GNFD,General Fund,0001EBS,Building Services GF,5.17,"City Facility Operation, Maintenance and Repair",PS,Personnel Services,8651277,0,4445702.11,4445702.11
2016,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,QV,Contractual & Other Services,2735126,0,2700100.94,2700100.94
2017,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,RE,Reimbursements,-322573,0,-3342.94,-3342.94
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.07,Archives,QV,Contractual & Other Services,14367,0,1065.18,1065.18
2016,OTHO,Other Operating Fund,0191DSV,9-1-1 System Operations,5.A,9-1-1 Technology/Education Services,QV,Contractual & Other Services,15824419,37055.91,11542351.5,11579407.41
2017,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,PS,Personnel Services,1211811,0,466949.5,466949.5
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,RE,Reimbursements,-893597,0,-113446.38,-113446.38
2017,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,QV,Contractual & Other Services,239117,0,9262.64,9262.64
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,RE,Reimbursements,-6131526,0,-1401206.5,-1401206.5
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,QM,Supplies & Materials,16400,113.48,5311.9,5425.38
2017,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,QV,Contractual & Other Services,37528,1750.62,17669.91,19420.53
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,QM,Supplies & Materials,65099,13053.02,38704.02,51757.04
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.3199999999999998,Planning and Design Studio,QM,Supplies & Materials,36450,1019.31,2854.31,3873.62
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,QM,Supplies & Materials,12606,53.12,8141.64,8194.76
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,QV,Contractual & Other Services,0,0,190060.77,190060.77
2017,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,PS,Personnel Services,31327476,0,14961511.6,14961511.6
2017,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,QV,Contractual & Other Services,1400389,234158.57,528297.21,762455.78
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,QV,Contractual & Other Services,0,6536.67,6294.13,12830.8
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,RE,Reimbursements,-116800,0,-61681.92,-61681.92
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1000000000000001,Fire Dispatch and Communications,QV,Contractual & Other Services,7801695,0,7533165.42,7533165.42
